Player1,Player2,Result,FSP,FSW,SSP,SSW,ACE,DBF,NPA,NPW
Richard Gasquet,Michael Russell,1,63,55,64,16,7,7,6,59
Stephane Robert,Albano Olivetti,1,61,56,77,19,3,2,6,56
Jan-Lennard Struff,Guillaume Rufin,0,55,39,47,32,11,13,3,55
Aljaz Bedene,Dmitry Tursunov,0,52,59,39,19,13,8,6,55
Feliciano Lopez,Florent Serra,1,58,46,50,30,21,3,6,61
Kenny De Schepper,Bradley Klahn,0,59,32,67,37,20,11,2,71
Andrey Kuznetsov,Dudi Sela,0,53,41,35,44,8,8,3,59
Pablo Cuevas,Janko Tipsarevic,0,51,61,60,24,17,6,7,55
Ernests Gulbis,Andreas Haider-Maurer,0,58,32,62,31,15,8,3,49
Mikhail Kukushkin,Andrej Martin,1,51,65,53,27,4,5,7,49
Roberto Bautista Agut,Thomaz Bellucci,1,75,56,69,12,1,1,6,57
Nick Kyrgios,David Ferrer,0,69,56,77,9,8,3,3,55
Tommy Robredo,Marinko Matosevic,1,54,51,67,30,9,3,6,59
Robin Haase,Frank Dancevic,0,58,35,60,34,19,4,6,64
Albert Ramos,Bernard Tomic,0,55,24,67,42,9,9,6,68
Daniel Evans,Kei Nishikori,1,48,65,51,25,8,4,6,54
Fernando Verdasco,Ivan Dodig,0,59,42,62,23,5,14,5,57
Rhyne Williams,Nikolay Davydenko,0,55,44,37,26,11,9,6,57
Ryan Harrison,Rafael Nadal,0,62,59,59,10,11,2,2,72
Novak Djokovic,Ricardas Berankis,1,68,64,67,14,10,1,6,53
Benjamin Becker,Lukas Rosol,1,52,62,54,27,8,5,3,47
Lukasz Kubot,Jarkko Nieminen,0,38,72,36,27,5,14,5,59
Joao Sousa,Grigor Dimitrov,1,58,39,58,27,5,2,6,58
Tommy Haas,Paul-Henri Mathieu,1,59,62,51,15,14,5,6,56
Yen-Hsun Lu,Daniel Gimeno-Traver,1,67,51,75,19,4,4,7,56
Donald Young,Martin Klizan,1,74,61,71,10,3,7,6,47
Florian Mayer,Juan Monaco,1,65,66,69,15,5,1,6,63
Tobias Kamke,Steve Johnson,1,53,45,61,39,10,7,6,48
Denis Istomin,Nicolas Almagro,1,64,50,63,23,13,2,6,64
Julien Benneteau,Michal Przysiezny,1,61,51,56,25,7,6,5,58
Sergiy Stakhovsky,Jeremy Chardy,0,53,38,45,33,7,9,6,56
Jiri Vesely,Denis Kudla,0,55,50,65,30,10,8,2,63
Paolo Lorenzi,Tomas Berdych,0,48,73,41,11,2,6,4,56
Pablo Andujar,Thiemo de Bakker,1,60,56,44,19,5,3,6,52
Thomas Fabbiano,Milos Raonic,0,66,54,72,17,0,7,6,63
Jerzy Janowicz,Maximo Gonzalez,0,58,60,78,17,3,11,4,65
Jack Sock,Philipp Petzschner,1,51,64,41,29,6,8,3,46
Roger Federer,Grega Zemlja,1,60,59,69,21,12,2,6,49
Santiago Giraldo,Carlos Berlocq,0,58,37,60,30,9,6,6,64
Horacio Zeballos,Adrian Mannarino,0,52,56,52,29,8,7,4,57
Guido Pella,Sam Querrey,0,56,46,54,31,6,9,6,58
John Isner,Filippo Volandri,1,73,58,81,11,16,3,6,56
Adrian Ungur,Gael Monfils,0,56,82,47,8,1,7,2,84
Albert Montanes,Edouard Roger-Vasselin,0,51,71,43,20,4,8,2,64
Collin Altamirano,Philipp Kohlschreiber,0,58,73,66,8,3,3,3,58
Rogerio Dutra Silva,Vasek Pospisil,1,58,36,46,39,3,3,3,48
Benoit Paire,Alex Bogomolov Jr.,0,51,28,54,40,29,11,6,64
Tim Smyczek,James Duckworth,1,66,53,54,21,4,2,6,55
Jurgen Zopp,Marcel Granollers,0,51,54,49,27,5,9,6,52
Rajeev Ram,Fabio Fognini,1,73,60,77,10,8,1,6,54
David Goffin,Alexandr Dolgopolov,0,67,56,52,14,7,8,4,45
Nicolas Mahut,Mikhail Youzhny,0,63,50,62,22,6,5,4,64
Jurgen Melzer,Evgeny Donskoy,0,65,61,71,17,4,2,3,57
Igor Sijsling,Peter Gojowczyk,0,55,51,45,24,13,3,6,51
Lleyton Hewitt,Brian Baker,1,46,62,42,29,8,7,4,49
Guillermo Garcia-Lopez,Juan Martin Del Potro,0,48,43,24,45,13,3,7,62
Andy Murray,Michael Llodra,1,67,64,77,15,3,0,6,63
Victor Hanescu,Leonardo Mayer,0,67,28,57,29,5,1,4,57
Andreas Seppi,Xavier Malisse,1,59,38,78,24,12,4,3,46
Lukas Lacko,Somdev Devvarman,0,50,52,44,29,11,6,1,56
Stanislas Wawrinka,Radek Stepanek,1,51,68,50,27,7,2,6,66
James Blake,Ivo Karlovic,0,64,18,69,36,9,6,6,63
Marcos Baghdatis,Go Soeda,1,60,66,40,20,16,3,6,54
Daniel Brands,Kevin Anderson,0,59,42,66,20,10,6,6,53
Richard Gasquet,Stephane Robert,1,58,50,70,22,8,6,7,53
Guillaume Rufin,Dmitry Tursunov,0,43,86,43,12,4,1,1,58
Feliciano Lopez,Bradley Klahn,1,52,41,62,38,23,10,7,71
Pablo Andujar,Milos Raonic,0,64,68,74,17,2,5,2,63
Maximo Gonzalez,Jack Sock,0,68,49,56,17,3,4,6,62
Dudi Sela,Janko Tipsarevic,0,62,70,70,10,1,7,4,44
Andreas Haider-Maurer,Mikhail Kukushkin,0,60,55,65,17,7,5,4,57
Roberto Bautista Agut,David Ferrer,0,62,58,61,20,2,5,7,59
Roger Federer,Carlos Berlocq,1,52,73,49,22,6,2,6,84
Adrian Mannarino,Sam Querrey,1,55,32,46,41,13,3,7,58
Tommy Robredo,Frank Dancevic,1,64,61,49,12,9,3,6,65
Bernard Tomic,Daniel Evans,0,62,53,74,23,8,2,3,56
John Isner,Gael Monfils,1,70,29,75,21,23,2,6,83
Edouard Roger-Vasselin,Philipp Kohlschreiber,0,61,52,76,25,3,3,2,58
Ivan Dodig,Nikolay Davydenko,1,66,55,75,14,16,0,6,51
Rogerio Dutra Silva,Rafael Nadal,0,58,79,50,12,2,5,1,69
Novak Djokovic,Benjamin Becker,1,74,52,75,11,13,2,6,59
Jarkko Nieminen,Joao Sousa,0,64,35,52,25,9,9,3,63
Alex Bogomolov Jr.,Tim Smyczek,0,69,13,53,30,8,9,6,63
Marcel Granollers,Rajeev Ram,1,62,37,56,28,14,4,4,66
Tommy Haas,Yen-Hsun Lu,1,60,49,57,20,15,9,6,68
Alexandr Dolgopolov,Mikhail Youzhny,0,53,65,62,19,10,4,1,52
Evgeny Donskoy,Peter Gojowczyk,1,55,37,69,34,9,2,6,55
Lleyton Hewitt,Juan Martin Del Potro,1,50,44,48,38,10,7,5,57
Andy Murray,Leonardo Mayer,1,57,59,43,35,5,3,6,63
Donald Young,Florian Mayer,0,62,58,64,20,5,8,3,57
Andreas Seppi,Somdev Devvarman,1,52,52,52,27,5,7,6,56
Tobias Kamke,Denis Istomin,0,46,81,38,23,3,5,2,46
Stanislas Wawrinka,Ivo Karlovic,1,60,49,29,25,9,5,7,63
Marcos Baghdatis,Kevin Anderson,1,43,76,43,24,10,6,6,64
Julien Benneteau,Jeremy Chardy,1,58,61,53,18,9,2,6,57
Denis Kudla,Tomas Berdych,0,60,51,56,26,1,6,6,57
Richard Gasquet,Dmitry Tursunov,1,64,58,71,21,14,4,2,53
Feliciano Lopez,Milos Raonic,0,59,44,50,29,7,8,4,67
Jack Sock,Janko Tipsarevic,0,46,65,36,27,19,8,6,56
Mikhail Kukushkin,David Ferrer,0,51,50,70,27,4,3,3,60
Roger Federer,Adrian Mannarino,1,57,64,70,15,8,4,6,65
Tommy Robredo,Daniel Evans,1,60,42,59,25,11,5,6,62
John Isner,Philipp Kohlschreiber,0,74,28,85,14,26,5,6,73
Ivan Dodig,Rafael Nadal,0,52,72,45,18,6,1,3,65
Novak Djokovic,Joao Sousa,1,68,70,60,12,3,2,6,59
Tim Smyczek,Marcel Granollers,0,61,37,51,26,10,3,6,59
Tommy Haas,Mikhail Youzhny,0,50,63,59,22,5,1,2,57
Evgeny Donskoy,Lleyton Hewitt,0,58,45,52,17,13,2,6,52
Andy Murray,Florian Mayer,1,51,63,56,25,7,2,6,62
Andreas Seppi,Denis Istomin,0,61,45,46,23,10,5,4,65
Stanislas Wawrinka,Marcos Baghdatis,1,52,45,54,37,11,5,6,47
Julien Benneteau,Tomas Berdych,0,52,75,28,12,5,6,3,58
Richard Gasquet,Milos Raonic,1,59,19,40,45,6,9,7,56
Janko Tipsarevic,David Ferrer,0,59,32,75,34,8,5,6,65
Roger Federer,Tommy Robredo,0,60,62,32,16,5,0,3,70
Philipp Kohlschreiber,Rafael Nadal,0,63,42,81,26,12,1,4,66
Mikhail Youzhny,Lleyton Hewitt,1,59,45,60,29,9,6,3,52
Andy Murray,Denis Istomin,1,63,42,66,23,5,5,6,69
Stanislas Wawrinka,Tomas Berdych,1,58,45,56,27,14,6,6,58
Richard Gasquet,David Ferrer,1,59,43,63,31,6,3,6,63
Tommy Robredo,Rafael Nadal,0,52,80,59,9,3,4,2,61
Novak Djokovic,Mikhail Youzhny,1,68,51,70,19,5,1,6,56
Andy Murray,Stanislas Wawrinka,0,63,63,55,22,5,4,3,55
Novak Djokovic,Stanislas Wawrinka,1,67,36,92,25,9,6,7,50
Richard Gasquet,Rafael Nadal,0,64,59,49,15,6,4,6,71
Novak Djokovic,Rafael Nadal,0,68,60,79,16,6,2,6,64
